DÍA,FECHA,CLIENTES_AM,CLIENTES_PM,CLIENTES_TOTAL,VENTAS_AM,VENTAS_PM,VENTAS_TOTALES
VIERNES,29/11/2019,,,491,,,"7617,25"
SÁBADO,30/11/2019,,,523,,,"10209,03"
DOMINGO,1/12/2019,,,268,,,5239
LUNES,2/12/2019,,,324,,,4468
MARTES,3/12/2019,,,294,,,4027
MIÉRCOLES,4/12/2019,,,240,,,3255
JUEVES,5/12/2019,,,311,,,4596
VIERNES,6/12/2019,,,464,,,8425
SÁBADO,7/12/2019,,,537,,,10155
DOMINGO,8/12/2019,,,394,,,7528
LUNES,9/12/2019,,,294,,,5511
MARTES,10/12/2019,,,286,,,4060
MIÉRCOLES,11/12/2019,,,291,,,3567
JUEVES,12/12/2019,,,326,,,4697
VIERNES,13/12/2019,,,420,,,7246
SÁBADO,14/12/2019,,,518,,,10423
DOMINGO,15/12/2019,,,306,,,5858
LUNES,16/12/2019,,,250,,,3291
MARTES,17/12/2019,,,293,,,4373
MIÉRCOLES,18/12/2019,,,297,,,3763
JUEVES,19/12/2019,,,236,,,3133
VIERNES,20/12/2019,,,279,,,4144
SÁBADO,21/12/2019,,,445,,,8568
DOMINGO,22/12/2019,,,321,,,5997
LUNES,23/12/2019,,,341,,,4564
MARTES,24/12/2019,,,84,,,1032
MIÉRCOLES,25/12/2019,,,0,,,0
JUEVES,26/12/2019,,,391,,,"5248,16"
VIERNES,27/12/2019,,,492,,,"6761,23"
SÁBADO,28/12/2019,,,461,,,"8613,99"
DOMINGO,29/12/2019,,,402,,,"7617,82"
LUNES,30/12/2019,,,412,,,"6067,36"
MARTES,31/12/2019,,,112,,,"1409,89"
SÁBADO,1/01/2022,32,55,87,676,865,1541
DOMINGO,2/01/2022,102,37,139,1811,759,2570
LUNES,3/01/2022,124,0,124,1746,0,1746
MARTES,4/01/2022,117,0,117,1628,0,1628
MIÉRCOLES,5/01/2022,98,19,117,1319,408,1727
JUEVES,6/01/2022,66,31,97,1437,563,2000
VIERNES,7/01/2022,122,44,166,1846,852,2698
SÁBADO,8/01/2022,105,80,185,2030,1483,3514
DOMINGO,9/01/2022,62,18,80,1184,335,1519
LUNES,10/01/2022,71,0,71,948,0,948
MARTES,11/01/2022,87,0,87,1184,0,1184
MIÉRCOLES,12/01/2022,46,19,65,606,327,934
JUEVES,13/01/2022,64,18,82,832,352,1184
VIERNES,14/01/2022,45,44,89,634,887,1521
SÁBADO,15/01/2022,92,72,164,1853,1540,3393
DOMINGO,16/01/2022,72,26,98,1540,459,1998
LUNES,17/01/2022,82,0,82,1073,0,1073
MARTES,18/01/2022,76,0,76,983,0,983
MIÉRCOLES,19/01/2022,71,39,110,905,825,1729
JUEVES,20/01/2022,73,41,114,1075,854,1929
VIERNES,21/01/2022,88,85,173,1362,1472,2834
SÁBADO,22/01/2022,117,79,196,2076,1572,3648
DOMINGO,23/01/2022,87,16,103,1689,282,1971
LUNES,24/01/2022,71,0,71,899,0,899
MARTES,25/01/2022,82,0,82,1157,0,1157
MIÉRCOLES,26/01/2022,88,11,99,1089,199,1288
JUEVES,27/01/2022,94,21,115,1181,417,1597
VIERNES,28/01/2022,99,59,158,1262,1260,2521
SÁBADO,29/01/2022,109,75,184,2113,1440,3553
DOMINGO,30/01/2022,89,28,117,1720,441,2161
LUNES,31/01/2022,73,0,73,986,0,986
MARTES,1/02/2022,90,0,90,1140,0,1140
MIÉRCOLES,2/02/2022,71,26,97,896,541,1437
JUEVES,3/02/2022,68,18,86,819,412,1231
VIERNES,4/02/2022,74,70,144,1024,1481,2505
SÁBADO,5/02/2022,103,86,189,2179,1688,3867
DOMINGO,6/02/2022,85,27,112,1672,526,2199
LUNES,7/02/2022,100,0,100,1255,0,1255
MARTES,8/02/2022,82,0,82,980,0,980
MIÉRCOLES,9/02/2022,83,24,107,1104,399,1503
JUEVES,10/02/2022,98,29,127,1153,714,1867
VIERNES,11/02/2022,77,51,128,991,1087,2078
SÁBADO,12/02/2022,93,83,176,1875,1609,3484
DOMINGO,13/02/2022,90,33,123,1865,542,2407
LUNES,14/02/2022,111,44,155,1474,929,2403
MARTES,15/02/2022,104,0,104,1295,0,1295
MIÉRCOLES,16/02/2022,97,11,108,1229,208,1436
JUEVES,17/02/2022,101,25,126,1338,536,1874
VIERNES,18/02/2022,90,70,160,1371,1362,2732
SÁBADO,19/02/2022,109,72,181,2245,1414,3659
DOMINGO,20/02/2022,92,0,92,1902,0,1902
LUNES,21/02/2022,85,0,85,1089,0,1089
MARTES,22/02/2022,89,0,89,1187,0,1187
MIÉRCOLES,23/02/2022,101,25,126,1191,608,1799
JUEVES,24/02/2022,110,18,128,1361,341,1702
VIERNES,25/02/2022,110,76,186,1599,1468,3067
SÁBADO,26/02/2022,112,94,206,2479,1772,4250
DOMINGO,27/02/2022,97,48,145,1947,925,2872
LUNES,28/02/2022,113,0,113,1619,0,1619
MARTES,1/03/2022,130,0,130,3363,0,3363
MIÉRCOLES,2/03/2022,82,19,101,2086,345,2431
JUEVES,3/03/2022,129,17,146,3427,321,3748
VIERNES,4/03/2022,121,86,207,3099,1852,4951
SÁBADO,5/03/2022,120,91,211,5015,1844,6859
DOMINGO,6/03/2022,131,21,152,5321,448,5768
LUNES,7/03/2022,84,0,84,2178,0,2178
MARTES,8/03/2022,115,0,115,2973,0,2973
MIÉRCOLES,9/03/2022,134,0,134,3351,0,3351
JUEVES,10/03/2022,118,36,154,2963,715,3678
VIERNES,11/03/2022,134,70,204,3683,1462,5145
SÁBADO,12/03/2022,132,98,230,5391,2005,7395
DOMINGO,13/03/2022,110,28,138,4313,510,4823
LUNES,14/03/2022,83,0,83,2015,0,2015
MARTES,15/03/2022,113,0,113,2697,0,2697
MIÉRCOLES,16/03/2022,112,27,139,2867,502,3369
JUEVES,17/03/2022,113,46,159,2895,871,3766
VIERNES,18/03/2022,102,84,186,2799,1495,4294
SÁBADO,19/03/2022,130,112,242,5594,2415,8009
DOMINGO,20/03/2022,114,14,128,4249,265,4514
LUNES,21/03/2022,103,0,103,2608,0,2608
MARTES,22/03/2022,91,0,91,2231,0,2231
MIÉRCOLES,23/03/2022,91,28,119,2485,584,3069
JUEVES,24/03/2022,138,35,173,3660,635,4295
VIERNES,25/03/2022,99,82,181,2669,1613,4282
SÁBADO,26/03/2022,139,113,252,5507,2197,7703
DOMINGO,27/03/2022,119,32,151,4734,613,5347
LUNES,28/03/2022,61,0,61,1468,0,1468
MARTES,29/03/2022,78,21,99,1889,477,2366
MIÉRCOLES,30/03/2022,124,44,168,3362,817,4180
JUEVES,31/03/2022,124,12,136,2822,258,3079
VIERNES,1/04/2022,92,92,184,1175,1779,2954
SÁBADO,2/04/2022,140,132,272,2754,2489,5243
DOMINGO,3/04/2022,140,28,168,2825,557,3383
LUNES,4/04/2022,125,26,151,1536,546,2081
MARTES,5/04/2022,135,42,177,1647,828,2475
MIÉRCOLES,6/04/2022,140,19,159,1688,329,2018
JUEVES,7/04/2022,110,16,126,1401,324,1725
VIERNES,8/04/2022,112,68,180,1417,1288,2705
SÁBADO,9/04/2022,132,93,225,2457,1820,4277
DOMINGO,10/04/2022,130,46,176,2601,1043,3645
LUNES,11/04/2022,103,52,155,1449,984,2433
MARTES,12/04/2022,143,50,193,1939,923,2862
MIÉRCOLES,13/04/2022,117,44,161,1641,871,2513
JUEVES,14/04/2022,90,92,182,1700,1689,3390
VIERNES,15/04/2022,134,86,220,2538,1612,4150
SÁBADO,16/04/2022,127,116,243,2391,1933,4324
