DÍA,FECHA,CLIENTES_AM,CLIENTES_PM,CLIENTES_TOTAL
LUNES,29/08/2022,65,46,111
MARTES,30/08/2022,91,32,123
MIÉRCOLES,31/08/2022,111,21,132
JUEVES,1/09/2022,87,39,126
VIERNES,2/09/2022,107,104,211
SÁBADO,3/09/2022,124,114,238
DOMINGO,4/09/2022,89,31,120
LUNES,5/09/2022,121,27,148
MARTES,6/09/2022,98,12,110
MIÉRCOLES,7/09/2022,106,43,149
JUEVES,8/09/2022,142,33,175
VIERNES,9/09/2022,120,70,190
SÁBADO,10/09/2022,118,89,207
DOMINGO,11/09/2022,77,33,110
LUNES,12/09/2022,87,10,97
MARTES,13/09/2022,101,13,114
MIÉRCOLES,14/09/2022,115,2,117
JUEVES,15/09/2022,102,48,150
VIERNES,16/09/2022,112,82,194
SÁBADO,17/09/2022,53,80,133
DOMINGO,18/09/2022,89,16,105
LUNES,19/09/2022,118,20,138
MARTES,20/09/2022,88,27,115
MIÉRCOLES,21/09/2022,124,13,137
JUEVES,22/09/2022,114,38,152
VIERNES,23/09/2022,94,73,167
SÁBADO,24/09/2022,108,120,228
DOMINGO,25/09/2022,127,53,180
LUNES,26/09/2022,108,31,139
MARTES,27/09/2022,112,17,129
MIÉRCOLES,28/09/2022,134,66,200
JUEVES,29/09/2022,134,32,166
VIERNES,30/09/2022,124,103,227
SÁBADO,1/10/2022,127,105,232
DOMINGO,2/10/2022,124,17,141
LUNES,3/10/2022,129,41,170
MARTES,4/10/2022,101,42,143
MIÉRCOLES,5/10/2022,110,69,179
JUEVES,6/10/2022,142,30,172
VIERNES,7/10/2022,122,101,223
SÁBADO,8/10/2022,132,107,239
DOMINGO,9/10/2022,128,37,165
LUNES,10/10/2022,102,18,120
MARTES,11/10/2022,152,60,212
MIÉRCOLES,12/10/2022,149,18,167
JUEVES,13/10/2022,106,30,136
VIERNES,14/10/2022,130,80,210
SÁBADO,15/10/2022,127,108,235
DOMINGO,16/10/2022,99,36,135
LUNES,17/10/2022,111,29,140
MARTES,18/10/2022,137,28,165
MIÉRCOLES,19/10/2022,117,25,142
JUEVES,20/10/2022,121,33,154
VIERNES,21/10/2022,119,84,203
SÁBADO,22/10/2022,108,85,193
DOMINGO,23/10/2022,108,50,158
LUNES,24/10/2022,135,39,174
MARTES,25/10/2022,105,38,143
MIÉRCOLES,26/10/2022,139,31,170
JUEVES,27/10/2022,126,39,165
VIERNES,28/10/2022,115,52,167
